Taxa,Latin_name,Common_name,Species_name,Species_name_space,Species_name_short,ALA_link
Dune,Ammophila arenaria,Marram grass,A.arenaria,A. arenaria,A_rnr,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2913418
Seagrass,Amphibolis antarctica,"Wire-Weed, Sea-Nymph, Sea Nymph",A.antarctica,A. antarctica,A_ntrct,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2908677
Saltmarsh,Austrostipa stipoides,"Prickly spear-grass, Coast spear grass",A.stipoides,A. stipoides,A_stpds,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2918394
Mangrove,Avicennia marina,Grey mangrove,A.marina,A. marina,A_mrn,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2899921
Saltmarsh,Gahnia filum ,Chaffy Saw-sedge,G.filum,G. filum,G_flm,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2904187
Seagrass,Halophila australis,Paddle Weed,H.australis,H. australis,H_strls,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2895649
Seagrass,Heterozostera nigricaluis ,Australian Grass-Wrack,H.nigricaulis,H. nigricaulis,H_ngrcl,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2890411
Shellfish,Mytilus galloprovincialis,"Blue Mussel, Australian Blue Mussel, Black Mussel",M.galloprovincialis,M. galloprovincialis,M_gllpr,https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:ddee5a83-522f-4502-a725-02a93d37c2c6
Shellfish,Ostra angasi ,"Southern mud oyster, Australian flat oyster, Native flat oyster, Native mud oyster",O.Angasi,O. Angasi,O_ngs,https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:88fa2e18-a989-43f7-a3e5-a06cc3054e87
Shellfish,Saccostra glomerata,Commercial Rock Oyster,S.cucullata.glomerata,S. cucullata glomerata,S_cclllt,https://bie.ala.org.au/species/urn:lsid:biodiversity.org.au:afd.taxon:d62b545e-f04e-4ca6-827f-f01323639176
Dune,Spinifex sericeus,"Hairy spinifex, Rolling spinifex, Beach spinifex, Coastal spinifex",S.sericeus,S. sericeus,S_srcs,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2903600
Saltmarsh,Tecticornia arbuscula,Shrubby Glasswort,T.arbuscula,T. arbuscula,T_rbscl,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2902697
Dune,Thinopyrum junceiforme,"Sand couch, Sea couch-grass",T.junceiforme,T. junceiforme,T_jncfr,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2902908
Seagrass,Zostera muelleri,"Seagrass, Eelgrass, Garweed",Z.muelleri,Z. muelleri,Z_mllr,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2909263